msoa11,total,office,retail,leisure,industrial,other,ret_restaurants,ret_hs,ret_superstores
E02000593,169,24,91,17,2,35,23,67,0
E02000594,382,116,200,8,3,55,24,171,3
E02000595,388,105,231,4,2,46,39,184,5
E02000596,269,87,144,2,4,32,36,107,1
E02000597,451,242,122,5,51,31,16,101,4
E02000619,399,244,77,3,22,53,9,66,0
E02000620,700,417,163,10,37,73,25,133,3
E02000621,608,297,189,9,54,59,22,164,1
E02000622,388,207,124,5,19,33,11,111,1
E02000623,78,14,34,3,12,15,13,19,0
E02000624,122,34,59,3,8,18,5,51,0
E02000625,238,52,117,2,34,33,9,103,2
E02000628,809,103,573,5,72,56,39,526,4
E02000629,299,92,135,6,46,20,22,109,1
E02000630,321,133,113,3,35,37,17,91,2
E02000633,374,176,145,5,13,35,18,115,7
E02000726,925,229,451,26,136,83,49,385,14
E02000808,3309,2455,545,28,145,136,167,367,3
E02000809,1507,976,323,16,113,79,86,223,8
E02000810,749,212,143,6,336,52,13,125,0
E02000812,809,429,246,3,57,74,50,190,1
E02000813,325,96,168,5,12,44,19,143,4
E02000815,366,126,161,9,22,48,21,134,1
E02000818,290,67,172,3,14,34,20,146,2
E02000820,284,69,85,3,99,28,12,73,0
E02000864,568,142,139,5,253,29,17,116,2
E02000865,498,223,124,7,105,39,17,95,10
E02000866,242,8,186,3,7,38,25,159,0
E02000867,654,333,53,2,230,36,9,41,0
E02000868,526,241,100,2,145,38,18,76,2
E02000869,341,67,165,2,87,20,17,144,2
E02000870,199,41,117,3,12,26,14,102,0
E02000871,217,67,46,3,64,37,5,40,0
E02000872,538,120,313,10,55,40,34,271,6
E02000873,186,44,97,1,7,37,11,81,0
E02000874,335,162,76,4,54,39,12,61,2
E02000875,200,27,62,6,83,22,3,56,1
E02000876,598,198,270,10,76,44,27,230,7
E02000877,299,63,117,2,58,59,14,101,0
E02000878,2516,1511,771,12,103,119,142,606,13
E02000879,192,40,79,0,42,31,14,60,4
E02000880,355,139,123,3,50,40,10,98,11
E02000881,252,81,48,1,85,37,4,44,0
E02000882,132,11,76,3,15,27,11,63,2
E02000883,251,56,156,3,0,36,19,132,1
E02000884,1834,1116,472,18,128,100,64,351,55
E02000885,282,47,173,2,28,32,9,157,6
E02000886,222,55,81,5,46,35,12,68,0
E02000887,173,41,49,6,20,57,8,36,3
E02000888,541,102,97,12,287,43,12,83,0
E02000889,416,208,76,38,38,56,15,57,3
E02000890,581,375,111,9,11,75,37,73,1
E02000891,1409,804,129,17,55,404,33,92,3
E02000893,74,10,35,0,2,27,6,28,0
E02000894,121,72,19,5,5,20,4,14,0
E02000923,233,111,76,4,9,33,18,54,1
E02000924,1269,430,236,11,524,68,39,185,8
E02000925,132,33,80,1,0,18,11,67,1
E02000926,465,219,153,10,41,42,34,102,14
E02000927,332,46,134,0,136,16,23,107,3
E02000928,236,61,126,15,8,26,26,99,1
E02000929,70,5,45,2,3,15,3,40,1
E02000930,441,72,301,3,13,52,58,233,5
E02000931,77,8,52,2,4,11,7,45,0
E02000932,990,352,453,17,79,89,83,336,15
E02000933,143,42,71,2,3,25,9,60,0
E02000934,336,62,206,7,7,54,35,159,4
E02000936,127,86,19,1,2,19,4,10,3
E02000940,456,164,209,8,28,47,31,159,8
E02000941,99,10,48,0,26,15,3,42,2
E02000960,212,45,129,5,2,31,16,108,1
E02000962,100,30,32,1,3,34,2,28,1
E02000966,177,29,115,2,3,28,23,87,1
E02000967,855,507,255,18,2,73,42,204,1
E02000968,474,84,301,8,13,68,35,256,4
E02000969,282,168,65,2,5,42,9,55,0
E02000970,4178,2644,811,22,10,691,151,597,43
E02000971,1327,828,354,27,13,105,61,285,4
E02000972,11086,7827,2659,75,108,417,582,1662,375
E02000973,254,53,161,11,3,26,41,116,2
E02000974,1178,633,378,82,13,72,77,287,0
E02000975,1206,945,168,58,3,32,45,117,0
E02000976,556,123,316,56,12,49,69,235,5
E02000977,10000,7032,2410,110,26,422,595,1732,39
E02000978,1269,893,245,13,16,102,47,189,6
E02000979,2771,2135,458,18,9,151,116,326,2
E02000980,266,121,87,6,2,50,15,69,1
E02000981,612,293,215,62,1,41,36,172,3
E02000982,1222,706,402,22,10,82,60,335,3
E02000983,129,36,58,1,2,32,7,50,0
E02006801,1035,460,372,16,55,132,107,253,4
E02006802,628,411,104,6,23,84,28,72,0
E02006853,559,362,83,6,8,100,6,76,0
E02006854,2470,1542,574,18,68,268,109,450,5
