msoa11,total,office,retail,leisure,industrial,other,ret_restaurants,ret_hs,ret_superstores
E02000962,97,29,32,1,3,32,2,28,1
E02000966,174,27,114,2,3,28,23,86,1
E02000967,741,402,251,17,2,69,40,202,1
E02000968,461,82,290,8,14,67,35,246,4
E02000969,266,153,65,2,5,41,9,55,0
E02000970,3978,2491,795,22,10,660,150,583,45
E02000971,1296,817,347,25,13,94,58,280,4
E02000972,10594,7416,2594,70,109,405,571,1609,371
E02000973,250,52,160,11,3,24,41,114,2
E02000974,731,210,357,81,13,70,77,266,0
E02000975,1199,939,168,58,3,31,45,117,0
E02000976,545,122,310,54,12,47,68,230,5
E02000977,9723,6812,2372,103,26,410,583,1705,39
E02000978,1193,821,242,12,17,101,47,185,6
E02000979,2635,2012,449,17,8,149,113,319,2
E02000980,259,116,87,6,2,48,15,69,1
E02000981,606,293,213,58,1,41,36,170,3
E02000982,1143,644,394,22,10,73,58,331,1
E02000983,127,34,58,1,2,32,7,50,0
E02006801,945,386,363,15,53,128,106,245,4
E02006802,594,389,102,5,23,75,27,71,0
E02006853,531,338,83,6,8,96,6,76,0
E02006854,1871,953,566,17,68,267,109,441,5
