msoa11,total,office,retail,leisure,industrial,other,ret_restaurants,ret_hs,ret_superstores
E02000585,153,53,36,16,7,41,7,28,1
E02000586,406,135,169,22,6,74,42,116,7
E02000587,472,222,182,7,6,55,30,143,3
E02000588,918,361,440,14,8,95,60,369,4
E02000589,291,60,134,40,12,45,31,93,4
E02000590,593,220,298,9,7,59,44,247,5
E02000591,159,35,60,33,2,29,16,41,2
E02000592,450,166,200,15,2,67,43,146,5
E02000593,169,24,91,17,2,35,23,67,0
E02000594,381,116,199,8,3,55,24,170,3
E02000595,388,105,231,4,2,46,39,184,5
E02000596,269,87,144,2,4,32,36,107,1
E02000597,449,240,122,5,51,31,16,101,4
E02000619,399,244,77,3,22,53,9,66,0
E02000620,700,417,164,9,37,73,26,133,3
E02000621,608,297,189,9,54,59,22,164,1
E02000622,387,207,123,5,19,33,11,110,1
E02000623,78,14,34,3,12,15,13,19,0
E02000624,122,34,59,3,8,18,5,51,0
E02000625,238,52,117,2,34,33,9,103,2
E02000628,795,92,570,5,72,56,39,523,4
E02000629,299,92,135,6,46,20,22,109,1
E02000630,321,133,113,3,35,37,17,91,2
E02000633,373,176,144,5,13,35,18,114,7
E02000726,924,228,451,26,136,83,49,385,14
E02000808,3306,2452,545,28,145,136,167,367,3
E02000809,1505,974,323,16,113,79,86,223,8
E02000810,748,211,142,6,337,52,12,125,0
E02000812,809,429,246,3,57,74,50,190,1
E02000813,325,96,168,5,12,44,19,143,4
E02000815,365,126,161,9,22,47,21,134,1
E02000818,290,67,172,3,14,34,20,146,2
E02000820,284,69,85,3,99,28,12,73,0
E02000864,567,142,138,5,253,29,16,116,2
E02000865,498,223,124,7,105,39,17,95,10
E02000866,241,8,185,3,7,38,25,158,0
E02000867,653,332,53,2,230,36,9,41,0
E02000868,524,239,100,2,145,38,18,76,2
E02000869,341,67,165,2,87,20,17,144,2
E02000870,199,41,117,3,12,26,14,102,0
E02000871,217,67,46,3,64,37,5,40,0
E02000872,536,120,311,10,55,40,34,269,6
E02000873,186,44,97,1,7,37,11,81,0
E02000874,335,163,75,4,54,39,11,61,2
E02000875,200,27,62,6,83,22,3,56,1
E02000876,575,176,270,9,76,44,27,230,7
E02000877,299,63,117,2,58,59,14,101,0
E02000878,2514,1511,769,12,103,119,141,605,13
E02000879,192,40,79,0,42,31,14,60,4
E02000880,357,142,122,3,50,40,10,96,12
E02000881,250,79,48,1,85,37,4,44,0
E02000882,132,11,76,3,15,27,11,63,2
E02000883,251,56,156,3,0,36,19,132,1
E02000884,1833,1115,472,18,128,100,64,349,56
E02000885,282,47,173,2,28,32,9,157,6
E02000886,222,55,81,5,46,35,12,68,0
E02000887,173,41,49,6,20,57,8,36,3
E02000888,541,102,97,12,287,43,12,83,0
E02000889,411,203,76,38,38,56,15,57,3
E02000890,579,373,111,9,11,75,36,74,1
E02000891,1398,797,126,17,55,403,33,90,2
E02000893,74,10,35,0,2,27,6,28,0
E02000894,121,72,19,5,5,20,4,14,0
E02000923,233,111,76,4,9,33,18,54,1
E02000924,1267,430,236,11,522,68,39,185,8
E02000925,132,33,80,1,0,18,11,67,1
E02000926,464,219,152,10,41,42,34,102,13
E02000927,332,46,134,0,136,16,23,107,3
E02000928,236,61,126,15,8,26,26,99,1
E02000929,70,5,45,2,3,15,3,40,1
E02000930,441,72,301,3,13,52,58,233,5
E02000931,77,8,52,2,4,11,7,45,0
E02000932,990,352,453,17,79,89,83,336,15
E02000933,143,42,71,2,3,25,9,60,0
E02000934,336,62,206,7,7,54,35,159,4
E02000936,127,86,19,1,2,19,4,10,3
E02000940,456,164,209,8,28,47,31,159,8
E02000941,99,10,48,0,26,15,3,42,2
E02000960,212,45,129,5,2,31,16,108,1
E02000962,100,30,32,1,3,34,2,28,1
E02000966,177,28,116,2,3,28,23,88,1
E02000967,757,410,254,18,2,73,42,203,1
E02000968,474,84,301,8,13,68,35,256,4
E02000969,281,167,65,2,5,42,9,55,0
E02000970,4150,2639,810,22,10,669,151,595,44
E02000971,1325,826,354,27,13,105,61,285,4
E02000972,11060,7801,2659,75,108,417,582,1661,376
E02000973,254,53,161,11,3,26,41,116,2
E02000974,1176,631,378,82,13,72,77,287,0
E02000975,1206,945,168,58,3,32,45,117,0
E02000976,554,122,315,56,12,49,68,235,5
E02000977,9997,7029,2410,110,26,422,595,1732,39
E02000978,1263,887,245,13,16,102,47,189,6
E02000979,2764,2131,455,18,9,151,116,323,2
E02000980,266,121,87,6,2,50,15,69,1
E02000981,612,293,215,62,1,41,36,172,3
E02000982,1206,690,402,22,10,82,60,335,3
E02000983,129,36,58,1,2,32,7,50,0
E02006801,1034,460,371,16,55,132,107,252,4
E02006802,628,411,104,6,23,84,28,72,0
E02006853,557,360,83,6,8,100,6,76,0
E02006854,2466,1538,574,18,68,268,109,450,5
